"g171school","g171province","g171sex","g171age","g171f010","g171f074","g171f076","g171f086","g171f101","g171f124","g171g002","eventtime","status","blank_month","X5","X10","X11","X12","X16","X35"
"1","1","2",22.25,"1",4.4,4,2,"2","2","1",6,1,4,"2",5,36,0,130,"1"
"1","4","1",25.5,"1",3.2,4,1,"1","2","0",7,1,5,"2",5,40,0,200,"2"
"1","2","2",21.83333333,"1",3.8,4,1,"2","2","0",4,1,7,"2",5,40,0,158,"2"
"1","2","1",25.75,"1",2.5,5,2,"1","1","0",11,1,2,"2",5,40,10,280,"2"
"1","3","2",21.75,"1",4.2,4,2,"2","2","0",9,1,1,"2",5,40,10,170,"2"
"1","5","2",48.91666667,"1",4.1,8,2,"2","2","0",17,1,0,"2",5,40,0,170,"2"
"1","5","1",25.25,"1",3.6,4,2,"1","2","0",8,1,2,"2",5,40,6,200,"1"
"1","1","2",21.58333333,"1",2.6,4,2,"2","2","0",9,1,-1,"2",5,45,0,130,"2"
"1","3","2",23.16666667,"1",3.6,4,1,"2","2","0",13,1,-1,"2",5,40,0,170,"2"
"1","3","1",24.25,"1",3.8,4,2,"1","2","0",8,1,-2,"1",6,48,4,180,"2"
"1","4","2",22.75,"1",2.8,4,2,"2","2","0",10,1,1,"2",5,40,0,160,"2"
"1","4","2",22.25,"1",4,4,1,"2","2","0",4,1,2,"2",5,40,0,132,"2"
"1","2","1",25.41666667,"1",3.6,4,2,"1","2","0",8,1,2,"2",5,50,0,180,"2"
"1","3","1",24.16666667,"1",2,4,2,"1","2","0",13,1,2,"2",6,48,0,250,"2"
"1","4","1",26.25,"1",3.9,4,2,"2","2","0",2,1,3,"2",5,40,16,160,"2"
"1","5","2",48.16666667,"1",3,4,2,"2","2","0",6,1,9,"2",6,48,0,140,"1"
"1","2","1",25.66666667,"1",3.9,4,2,"1","2","0",4,1,1,"2",6,48,0,226,"2"
"1","2","2",24.58333333,"1",3.7,8,1,"1","2","0",15,1,2,"2",5,45,1,134,"2"
"1","2","1",29.58333333,"2",3,4,2,"2","2","0",4,1,4,"2",6,45,2,255,"2"
"1","3","2",22.66666667,"1",4.3,4,2,"2","2","0",7,1,-2,"2",5,40,0,150,"2"
"1","2","1",23.75,"1",3.4,4,2,"1","2","0",5,1,-1,"2",5,40,20,170,"2"
"1","4","1",29.66666667,"2",4,4,2,"1","2","0",19,1,6,"2",5,40,6,220,"2"
"1","4","1",25,"1",3.3,4,1,"1","2","0",7,1,1,"2",5,40,0,230,"1"
"1","4","1",26.66666667,"1",3.8,4,2,"2","2","0",2,1,1,"2",5,40,6,180,"2"
"1","2","1",33.58333333,"1",4.2,4,2,"2","2","0",13,1,1,"2",5,40,10,300,"2"
"1","4","1",24.91666667,"1",4,4,2,"1","2","0",3,1,0,"2",6,48,0,230,"2"
"1","2","1",24.33333333,"1",3.8,4,2,"1","2","0",13,1,4,"2",5,40,0,150,"2"
"1","5","1",24.66666667,"1",3.2,4,2,"1","2","0",6,1,9,"2",6,44,0,180,"2"
